title,abstract,year
market interfaces for electric vehicle charging,"we consider settings where owners of electric vehicles (evs) participate in a market mechanism to charge their vehicles. existing work on such mechanisms has typically assumed that participants are fully rational and can report their preferences accurately via some interface to the mechanism or to a software agent participating on their behalf. however, this may not be reasonable in settings with non-expert human end-users.thus, our overarching aim in this paper is to determine experimentally if a fully expressive market interface that enables accurate preference reports is suitable for the ev charging domain, or, alternatively, if a simpler, restricted interface that reduces the space of possible options is preferable. in doing this, we measure the performance of an interface both in terms of how it helps participants maximise their utility and how it affects deliberation time. our secondary objective is to contrast two different types of restricted interfaces that vary in how they restrict the space of preferences that can be reported. to enable this analysis, we develop a novel game that replicates key features of an abstract ev charging scenario. in two experiments with over 300 users, we show that restricting the users' preferences significantly reduces the time they spend deliberating (by up to half in some cases). an extensive usability survey confirms that this restriction is furthermore associated with a lower perceived cognitive burden on the users. more surprisingly, at the same time, using restricted interfaces leads to an increase in the users' performance compared to the fully expressive interface (by up to 70%). we also show that some restricted interfaces have the desirable effect of reducing the energy consumption of their users by up to 20% while achieving the same utility as other interfaces. finally, we find that a reinforcement learning agent displays similar performance trends to human users, enabling a novel methodology for evaluating market interfaces.",2017
sampling based approaches for minimizing regret in uncertain markov decision processes (mdps),"markov decision processes (mdps) are an effective model to represent decision processes in the presence of transitional uncertainty and reward tradeoffs. however, due to the difficulty in exactly specifying the transition and reward functions in mdps, researchers have proposed uncertain mdp models and robustness objectives in solving those models. most approaches for computing robust policies have focused on the computation of maximin policies which maximize the value in the worst case amongst all realisations of uncertainty. given the overly conservative nature of maximin policies, recent work has proposed minimax regret as an ideal alternative to the maximin objective for robust optimization. however, existing algorithms for handling minimax regret are restricted to models with uncertainty over rewards only and they are also limited in their scalability. therefore, we provide a general model of uncertain mdps that considers uncertainty over both transition and reward functions. furthermore, we also consider dependence of the uncertainty across different states and decision epochs. we also provide a mixed integer linear program formulation for minimizing regret given a set of samples of the transition and reward functions in the uncertain mdp. in addition, we provide two myopic variants of regret, namely cumulative expected myopic regret (cemr) and one step regret (osr) that can be optimized in a scalable manner. specifically, we provide dynamic programming and policy iteration based algorithms to optimize cemr and osr respectively. finally, to demonstrate the effectiveness of our approaches, we provide comparisons on two benchmark problems from literature. we observe that optimizing the myopic variants of regret, osr and cemr are better than directly optimizing the regret.",2017
adopting the cascade model in ad auctions: efficiency bounds and truthful algorithmic mechanisms,"sponsored search auctions (ssas) are one of the most successful applications of microeconomic mechanisms, with a revenue of about $72 billion in the us alone in 2016. however, the problem of designing the best economic mechanism for sponsored search auctions is far from being solved, and, given the amount at stake, it is no surprise that it has received growing attention over the past few years. the most common auction mechanism for ssas is the generalized second price (gsp). however, the gsp is known not to be truthful: the agents participating in the auction might have an incentive to report false values, generating economic inefficiency and suboptimal revenues in turn. superior, efficient truthful mechanisms, such as the vickrey-clarke-groves (vcg) auction, are well known in the literature. however, while the vcg auction is currently adopted for the strictly related scenario of contextual advertising, e.g., by google and facebook, companies are reluctant to extend it to ssas, fearing prohibitive switching costs. other than truthfulness, two issues are of paramount importance in designing effective ssas. first, the choice of the user model; not only does an accurate user model better target ads to users, it also is a critical factor in reducing the inefficiency of the mechanism. often an antagonist to this, the second issue is the running time of the mechanism, given the performance pressure these mechanisms undertake in real-world applications. in our work, we argue in favor of adopting the vcg mechanism based on the cascade model with ad/position externalities (apdc-vcg). our study includes both the derivation of inefficiency bounds and the design and the experimental evaluation of exact and approximate algorithms.",2017
privacy preserving implementation of the max-sum algorithm and its variants,"one of the basic motivations for solving dcops is maintaining agents' privacy. thus, researchers have evaluated the privacy loss of dcop algorithms and defined corresponding notions of privacy preservation for secured dcop algorithms. however, no secured protocol was proposed for max-sum, which is among the most studied dcop algorithms. as part of the ongoing effort of designing secure dcop algorithms, we propose p-max-sum, the first private algorithm that is based on max-sum. the proposed algorithm has multiple agents preforming the role of each node in the factor graph, on which the max-sum algorithm operates. p-max-sum preserves three types of privacy: topology privacy, constraint privacy, and assignment/decision privacy. by allowing a single call to a trusted coordinator, p-max-sum also preserves agent privacy. the two main cryptographic means that enable this privacy preservation are secret sharing and homomorphic encryption. in addition, we design privacy-preserving implementations of four variants of max-sum. we conclude by analyzing the price of privacy in terns of runtime overhead, both theoretically and by extensive experimentation.",2017
and/or branch-and-bound on a computational grid,"we present a parallel and/or branch-and-bound scheme that uses the power of a computational grid to push the boundaries of feasibility for combinatorial optimization. two variants of the scheme are described, one of which aims to use machine learning techniques for parallel load balancing. in-depth analysis identifies two inherent sources of parallel search space redundancies that, together with general parallel execution overhead, can impede parallelization and render the problem far from embarrassingly parallel. we conduct extensive empirical evaluation on hundreds of cpus, the first of its kind, with overall positive results. in a significant number of cases parallel speedup is close to the theoretical maximum and we are able to solve many very complex problem instances orders of magnitude faster than before; yet analysis of certain results also serves to demonstrate the inherent limitations of the approach due to the aforementioned redundancies.",2017
game-theoretic question selection for tests,"conventionally, the questions on a test are assumed to be kept secret from test takers until the test. however, for tests that are taken on a large scale, particularly asynchronously, this is very hard to achieve. for example, toefl ibt and driver's license test questions are easily found online. this also appears likely to become an issue for massive open online courses (moocs, as offered for example by coursera, udacity, and edx). specifically, the test result may not reflect the true ability of a test taker if questions are leaked beforehand. in this paper, we take the loss of confidentiality as a fact. even so, not all hope is lost as the test taker can memorize only a limited set of questions' answers, and the tester can randomize which questions to let appear on the test. we model this as a stackelberg game, where the tester commits to a mixed strategy and the follower responds. informally, the goal of the tester is to best reveal the true ability of a test taker, while the test taker tries to maximize the test result (pass probability or score). we provide an exponential-size linear program formulation that computes the optimal test strategy, prove several np-hardness results on computing optimal test strategies in general, and give efficient algorithms for special cases (scored tests and single-question tests). experiments are also provided for those proposed algorithms to show their scalability and the increase of the tester's utility relative to that of the uniform-at-random strategy. the increase is quite significant when questions have some correlation---for example, when a test taker who can solve a harder question can always solve easier questions.",2017
"finding a small vertex cover in massive sparse graphs: construct, local search, and preprocess","the problem of finding a minimum vertex cover (minvc) in a graph is a well known np-hard combinatorial optimization problem of great importance in theory and practice. due to its np-hardness, there has been much interest in developing heuristic algorithms for finding a small vertex cover in reasonable time. previously, heuristic algorithms for minvc have focused on solving graphs of relatively small size, and they are not suitable for solving massive graphs as they usually have high-complexity heuristics. this paper explores techniques for solving minvc in very large scale real-world graphs, including a construction algorithm, a local search algorithm and a preprocessing algorithm. both the construction and search algorithms are based on low-complexity heuristics, and we combine them to develop a heuristic algorithm for minvc called fastvc. experimental results on a broad range of real-world massive graphs show that, our algorithms are very fast and have better performance than previous heuristic algorithms for minvc. we also develop a preprocessing algorithm to simplify graphs for minvc algorithms. by applying the preprocessing algorithm to local search algorithms, we obtain two efficient minvc solvers called numvc2+p and fastvc2+p, which show further improvement on the massive graphs.",2017
perturbation training for human-robot teams,"in this work, we design and evaluate a computational learning model that enables a human-robot team to co-develop joint strategies for performing novel tasks that require coordination. the joint strategies are learned through ""perturbation training,"" a human team-training strategy that requires team members to practice variations of a given task to help their team generalize to new variants of that task. we formally define the problem of human-robot perturbation training and develop and evaluate the first end-to-end framework for such training, which incorporates a multi-agent transfer learning algorithm, human-robot co-learning framework and communication protocol. our transfer learning algorithm, adaptive perturbation training (adapt), is a hybrid of transfer and reinforcement learning techniques that learns quickly and robustly for new task variants. we empirically validate the benefits of adapt through comparison to other hybrid reinforcement and transfer learning techniques aimed at transferring knowledge from multiple source tasks to a single target task. we also demonstrate that adapt's rapid learning supports live interaction between a person and a robot, during which the human-robot team trains to achieve a high level of performance for new task variants. we augment adapt with a co-learning framework and a computational bi-directional communication protocol so that the robot can co-train with a person during live interaction. results from large-scale human subject experiments (n=48) indicate that adapt enables an agent to learn in a manner compatible with a human's own learning process, and that a robot undergoing perturbation training with a human results in a high level of team performance. finally, we demonstrate that human-robot training using adapt in a simulation environment produces effective performance for a team incorporating an embodied robot partner.",2017
the length of shortest vertex paths in binary occupancy grids compared to shortest r-constrained ones,"we study the problem of finding a short path from a start to a goal within a two-dimensional continuous and isotropic terrain that has been discretized into an array of accessible and blocked cells. a classic approach obtains a grid path where each step is along the edge of an accessible cell or diagonally across one. grid paths suffer from `digitization bias' -- even if two locations have line-of-sight, the minimum travelling cost between them can be greater than the distance along the line-of-sight. in a vertex path, steps are allowed from a cell corner to any other cell corner if they have line-of-sight. while the `digitization bias' is smaller, shortest vertex paths are impractical to find by brute force. recent research has thus turned to methods for finding short (but not necessarily shortest) vertex paths. to establish the methods' potential utility, we calculate upper bounds on the difference in length between the shortest vertex paths versus the shortest r-constrained ones where an r-constrained path consists of line segments that each traverse at most r rows and at most r columns of cells. the difference in length reduces as r increases -- indeed the shortest vertex paths are at most 1 percent shorter than the shortest 4-constrained ones. this article will be useful to developers and users of short(est) vertex paths algorithms who want to trade path length for improved runtimes in a predictable manner.",2017
probabilistic reasoning with abstract argumentation frameworks,"abstract argumentation offers an appealing way of representing and evaluating arguments and counterarguments. this approach can be enhanced by considering probability assignments on arguments, allowing for a quantitative treatment of formal argumentation. in this paper, we regard the assignment as denoting the degree of belief that an agent has in an argument being acceptable. while there are various interpretations of this, an example is how it could be applied to a deductive argument. here, the degree of belief that an agent has in an argument being acceptable is a combination of the degree to which it believes the premises, the claim, and the derivation of the claim from the premises. we consider constraints on these probability assignments, inspired by crisp notions from classical abstract argumentation frameworks and discuss the issue of probabilistic reasoning with abstract argumentation frameworks. moreover, we consider the scenario when assessments on the probabilities of a subset of the arguments are given and the probabilities of the remaining arguments have to be derived, taking both the topology of the argumentation framework and principles of probabilistic reasoning into account. we generalise this scenario by also considering inconsistent assessments, i.e., assessments that contradict the topology of the argumentation framework. building on approaches to inconsistency measurement, we present a general framework to measure the amount of conflict of these assessments and provide a method for inconsistency-tolerant reasoning.",2017
welfare effects of market making in continuous double auctions,"we investigate the effects of market making on market performance, focusing on allocative efficiency as well as gains from trade accrued by background traders. we employ empirical simulation-based methods to evaluate heuristic strategies for market makers as well as background investors in a variety of complex trading environments. our market model incorporates private and common valuation elements, with dynamic fundamental value and asymmetric information. in this context, we compare the surplus achieved by background traders in strategic equilibrium, with and without a market maker. our findings indicate that the presence of the market maker strongly tends to increase total welfare across various environments. market-maker profit may or may not exceed the welfare gain, thus the effect on background-investor surplus is ambiguous. we find that market making tends to benefit investors in relatively thin markets, and situations where background traders are impatient, due to limited trading opportunities. the presence of additional market makers increases these benefits, as competition drives the market makers to provide liquidity at lower price spreads. a thorough sensitivity analysis indicates that these results are robust to reasonable changes in model parameters.",2017
logical formalizations of commonsense reasoning: a survey,"commonsense reasoning is in principle a central problem in artificial intelligence, but it is a very difficult one. one approach that has been pursued since the earliest days of the field has been to encode commonsense knowledge as statements in a logic-based representation language and to implement commonsense reasoning as some form of logical inference. this paper surveys the use of logic-based representations of commonsense knowledge in artificial intelligence research.",2017
decision-theoretic planning under anonymity in agent populations,"we study the problem of self-interested planning under uncertainty in settings shared with more than a thousand other agents, each of which plans at its own individual level. we refer to such large numbers of agents as an agent population. the decision-theoretic formalism of interactive partially observable markov decision process (i-pomdp) is used to model the agent's self-interested planning. the first contribution of this article is a method for drastically scaling the finitely-nested i-pomdp to certain agent populations for the first time. our method exploits two types of structure that is often exhibited by agent populations -- anonymity and context-specific independence. we present a variant called the many-agent i-pomdp that models both these types of structure to plan efficiently under uncertainty in multiagent settings. in particular, the complexity of the belief update and solution in the many-agent i-pomdp is polynomial in the number of agents compared with the exponential growth that challenges the original framework. while exploiting structure helps mitigate the curse of many agents, the well-known curse of history that afflicts i-pomdps continues to challenge scalability in terms of the planning horizon. the second contribution of this article is an application of the branch-and-bound scheme to reduce the exponential growth of the search tree for look ahead. for this, we introduce new fast-computing upper and lower bounds for the exact value function of the many-agent i-pomdp. this speeds up the look-ahead computations without trading off optimality, and reduces both memory and run time complexity. the third contribution is a comprehensive empirical evaluation of the methods on three new problems domains -- policing large protests, controlling traffic congestion at a busy intersection, and improving the ai for the popular clash of clans multiplayer game. we demonstrate the feasibility of exact self-interested planning in these large problems, and that our methods for speeding up the planning are effective. altogether, these contributions represent a principled and significant advance toward moving self-interested planning under uncertainty to real-world applications.",2017
uniform random generation and dominance testing for cp-nets,"the generation of preferences represented as cp-nets for experiments and empirical testing has typically been done in an ad hoc manner that may have introduced a large statistical bias in previous experimental work. we present novel polynomial-time algorithms for generating cp-nets with n nodes and maximum in-degree c uniformly at random. we extend this result to several statistical cultures commonly used in the social choice and preference reasoning literature. a cp-net is composed of both a graph and underlying cp-statements; our algorithm is the first to provably generate both the graph structure and cp-statements, and hence the underlying preference orders themselves, uniformly at random. we have released this code as a free and open source project. we use the uniform generation algorithm to investigate the maximum and expected flipping lengths, i.e., the maximum length over all outcomes o and o', of a minimal proof that o is preferred to o'. using our new statistical evidence, we conjecture that, for cp-nets with binary variables and complete conditional preference tables, the expected flipping length is polynomial in the number of preference variables. this has positive implications for the usability of cp-nets as compact preference models.",2017
complexity of n-queens completion,"the n-queens problem is to place n chess queens on an n by n chessboard so that no two queens are on the same row, column or diagonal. the n-queens completion problem is a variant, dating to 1850, in which some queens are already placed and the solver is asked to place the rest, if possible. we show that n-queens completion is both np-complete and #p-complete. a corollary is that any non-attacking arrangement of queens can be included as a part of a solution to a larger n-queens problem. we introduce generators of random instances for n-queens completion and the closely related blocked n-queens and excluded diagonals problem. we describe three solvers for these problems, and empirically analyse the hardness of randomly generated instances. for blocked n-queens and the excluded diagonals problem, we show the existence of a phase transition associated with hard instances as has been seen in other np-complete problems, but a natural generator for n-queens completion did not generate consistently hard instances. the significance of this work is that the n-queens problem has been very widely used as a benchmark in artificial intelligence, but conclusions on it are often disputable because of the simple complexity of the decision problem. our results give alternative benchmarks which are hard theoretically and empirically, but for which solving techniques designed for n-queens need minimal or no change.",2017
probabilistic description logics for subjective uncertainty,"we propose a family of probabilistic description logics (dls) that are derived in a principled way from halpern's probabilistic first-order logic. the resulting probabilistic dls have a two-dimensional semantics similar to temporal dls and are well-suited for representing subjective probabilities. we carry out a detailed study of reasoning in the new family of logics, concentrating on probabilistic extensions of the dls alc and el, and showing that the complexity ranges from ptime via exptime and 2exptime to undecidable.",2017
tie-breaking strategies for cost-optimal best first search,"best-first search algorithms such as a* need to apply tie-breaking strategies in order to decide which node to expand when multiple search nodes have the same evaluation score. we investigate and improve tie-breaking strategies for cost-optimal search using a*. we first experimentally analyze the performance of common tie-breaking strategies that break ties according to the heuristic value of the nodes. we find that the tie-breaking strategy has a significant impact on search algorithm performance when there are 0-cost operators that induce large plateau regions in the search space. based on this, we develop two new classes of tie-breaking strategies. we first propose a depth diversification strategy which breaks ties according to the distance from the entrance to the plateau, and then show that this new strategy significantly outperforms standard strategies on domains with 0-cost actions. next, we propose a new framework for interpreting a* search as a series of satisficing searches within plateaus consisting of nodes with the same f-cost. based on this framework, we investigate a second, new class of tie-breaking strategy, a multi-heuristic tie-breaking strategy which embeds inadmissible, distance-to-go variations of various heuristics within an admissible search. this is shown to further improve the performance in combination with the depth metric.",2017
subset selection via implicit utilitarian voting,"how should one aggregate ordinal preferences expressed by voters into a measurably superior social choice? a well-established approach -- which we refer to as implicit utilitarian voting -- assumes that voters have latent utility functions that induce the reported rankings, and seeks voting rules that approximately maximize utilitarian social welfare. we extend this approach to the design of rules that select a subset of alternatives. we derive analytical bounds on the performance of optimal (deterministic as well as randomized) rules in terms of two measures, distortion and regret. empirical results show that regret-based rules are more compelling than distortion-based rules, leading us to focus on developing a scalable implementation for the optimal (deterministic) regret-based rule. our methods underlie the design and implementation of robovote.org, a not-for-profit website that helps users make group decisions via ai-driven voting methods.",2017
controlled school choice with soft bounds and overlapping types,"school choice programs are implemented to give students/parents an opportunity to choose the public school the students attend. controlled school choice programs need to provide choices for students/parents while maintaining distributional constraints on the composition of students, typically in terms of socioeconomic status. previous works show that setting soft-bounds, which flexibly change the priorities of students based on their types, is more appropriate than setting hard-bounds, which strictly limit the number of accepted students for each type. we consider a case where soft-bounds are imposed and one student can belong to multiple types, e.g., financially-distressed and minority types. we first show that when we apply a model that is a straightforward extension of an existing model for disjoint types, there is a chance that no stable matching exists. thus we propose an alternative model and an alternative stability definition, where a school has reserved seats for each type. we show that a stable matching is guaranteed to exist in this model and develop a mechanism called deferred acceptance for overlapping types (da-ot). the da-ot mechanism is strategy-proof and obtains the student-optimal matching within all stable matchings. furthermore, we introduce an extended model that can handle both type-specific ceilings and floors and propose a extended mechanism da-ot* to handle the extended model. computer simulation results illustrate that da-ot outperforms an artificial cap mechanism where we set a hard-bound for each type in each school. da-ot* can achieve stability in the extended model without sacrificing students welfare.",2017
"bayesian network structure learning with integer programming: polytopes, facets and complexity","the challenging task of learning structures of probabilistic graphical models is an important problem within modern ai research. recent years have witnessed several major algorithmic advances in structure learning for bayesian networks - arguably the most central class of graphical models - especially in what is known as the score-based setting. a successful generic approach to optimal bayesian network structure learning (bnsl), based on integer programming (ip), is implemented in the gobnilp system. despite the recent algorithmic advances, current understanding of foundational aspects underlying the ip based approach to bnsl is still somewhat lacking. understanding fundamental aspects of cutting planes and the related separation problem is important not only from a purely theoretical perspective, but also since it holds out the promise of further improving the efficiency of state-of-the-art approaches to solving bnsl exactly. in this paper, we make several theoretical contributions towards these goals: (i) we study the computational complexity of the separation problem, proving that the problem is np-hard; (ii) we formalise and analyse the relationship between three key polytopes underlying the ip-based approach to bnsl; (iii) we study the facets of the three polytopes both from the theoretical and practical perspective, providing, via exhaustive computation, a complete enumeration of facets for low-dimensional family-variable polytopes; and, furthermore, (iv) we establish a tight connection of the bnsl problem to the acyclic subgraph problem.",2017
despot: online pomdp planning with regularization,"the partially observable markov decision process (pomdp) provides a principled general framework for planning under uncertainty, but solving pomdps optimally is computationally intractable, due to the ""curse of dimensionality"" and the ""curse of history"". to overcome these challenges, we introduce the determinized sparse partially observable tree (despot), a sparse approximation of the standard belief tree, for online planning under uncertainty. a despot focuses online planning on a set of randomly sampled scenarios and compactly captures the ""execution"" of all policies under these scenarios. we show that the best policy obtained from a despot is near-optimal, with a regret bound that depends on the representation size of the optimal policy. leveraging this result, we give an anytime online planning algorithm, which searches a despot for a policy that optimizes a regularized objective function. regularization balances the estimated value of a policy under the sampled scenarios and the policy size, thus avoiding overfitting. the algorithm demonstrates strong experimental results, compared with some of the best online pomdp algorithms available. it has also been incorporated into an autonomous driving system for real-time vehicle control. the source code for the algorithm is available online.",2017
local search for minimum weight dominating set with two-level configuration checking and frequency based scoring function,"the minimum weight dominating set (mwds) problem is an important generalization of the minimum dominating set (mds) problem with extensive applications. this paper proposes a new local search algorithm for the mwds problem, which is based on two new ideas. the first idea is a heuristic called two-level configuration checking (cc2), which is a new variant of a recent powerful configuration checking strategy (cc) for effectively avoiding the recent search paths. the second idea is a novel scoring function based on the frequency of being uncovered of vertices. our algorithm is called cc2fs, according to the names of the two ideas. the experimental results show that, cc2fs performs much better than some state-of-the-art algorithms in terms of solution quality on a broad range of mwds benchmarks.",2017
computational aspects of nearly single-peaked electorates,"manipulation, bribery, and control are well-studied ways of changing the outcome of an election. many voting rules are, in the general case, computationally resistant to some of these manipulative actions. however when restricted to single-peaked electorates, these rules suddenly become easy to manipulate. recently, faliszewski, hemaspaandra, and hemaspaandra studied the computational complexity of strategic behavior in nearly single-peaked electorates. these are electorates that are not single-peaked but close to it according to some distance measure. in this paper we introduce several new distance measures regarding single-peakedness. we prove that determining whether a given profile is nearly single-peaked is np-complete in many cases. for one case we present a polynomial-time algorithm. in case the single-peaked axis is given, we show that determining the distance is always possible in polynomial time. furthermore, we explore the relations between the new notions introduced in this paper and existing notions from the literature.",2017
a model-theoretic view on qualitative constraint reasoning,"qualitative reasoning formalisms are an active research topic in artificial intelligence. in this survey we present a model-theoretic perspective on qualitative constraint reasoning and explain some of the basic concepts and results in an accessible way. in particular, we discuss the significance of omega-categoricity for qualitative reasoning, of primitive positive interpretations for complexity analysis, and of datalog as a unifying language for describing local consistency algorithms.",2017
dynamic repositioning to reduce lost demand in bike sharing systems,"bike sharing systems (bsss) are widely adopted in major cities of the world due to concerns associated with extensive private vehicle usage, namely, increased carbon emissions, traffic congestion and usage of nonrenewable resources. in a bss, base stations are strategically placed throughout a city and each station is stocked with a pre-determined number of bikes at the beginning of the day. customers hire the bikes from one station and return them at another station. due to unpredictable movements of customers hiring bikes, there is either congestion (more than required) or starvation (fewer than required) of bikes at base stations. existing data has shown that congestion/starvation is a common phenomenon that leads to a large number of unsatisfied customers resulting in a significant loss in customer demand. in order to tackle this problem, we propose an optimisation formulation to reposition bikes using vehicles while also considering the routes for vehicles and future expected demand. furthermore, we contribute two approaches that rely on decomposability in the problem (bike repositioning and vehicle routing) and aggregation of base stations to reduce the computation time significantly. finally, we demonstrate the utility of our approach by comparing against two benchmark approaches on two real-world data sets of bike sharing systems. these approaches are evaluated using a simulation where the movements of customers are generated from real-world data sets.",2017
the computational complexity of structure-based causality,"halpern and pearl introduced a definition of actual causality; eiter and lukasiewicz showed that computing whether x = x is a cause of y = y is np-complete in binary models (where all variables can take on only two values) and &#931;^p_2 -complete in general models. in the final version of their paper, halpern and pearl slightly modified the definition of actual cause, in order to deal with problems pointed out by hopkins and pearl. as we show, this modification has a nontrivial impact on the complexity of computing whether {x} = {x} is a cause of y = y. to characterize the complexity, a new family d_k^p , k = 1, 2, 3, . . ., of complexity classes is introduced, which generalises the class dp introduced by papadimitriou and yannakakis (dp is just d_1^p). we show that the complexity of computing causality under the updated definition is d_2^p -complete. chockler and halpern extended the definition of causality by introducing notions of responsibility and blame, and characterized the complexity of determining the degree of responsibility and blame using the original definition of causality. here, we completely characterize the complexity using the updated definition of causality. in contrast to the results on causality, we show that moving to the updated definition does not result in a difference in the complexity of computing responsibility and blame.",2017
new canonical representations by augmenting obdds with conjunctive decomposition,"we identify two families of canonical knowledge compilation languages. both families augment robdd with conjunctive decomposition bounded by an integer i ranging from 0 to &infin;. in the former, the decomposition is finest and the decision respects a chain c of variables, while both the decomposition and decision of the latter respect a tree t of variables. in particular, these two families cover the three existing languages robdd, robdd with as many implied literals as possible, and and/or bdd. we demonstrate that each language in the first family is complete, while each one in the second family is incomplete with expressivity that does not decrease with incremental i. we also demonstrate that the succinctness does not decrease from the i-th language in the second family to the i-th language in the first family, and then to the (i+1)-th language in the first family. for the operating efficiency, on the one hand, we show that the two families of languages support a rich class of tractable logical operations, and particularly the tractability of each language in the second family is not less than that of robdd; and on the other hand, we introduce a new time efficiency criterion called rapidity which reflects the idea that exponential operations may be preferable if the language can be exponentially more succinct, and we demonstrate that the rapidity of each operation does not decrease from the i-th language in the second family to the i-th language in the first family, and then to the (i+1)-th language in the first family. furthermore, we develop a compiler for the last language in the first family (i = &infin;). empirical results show that the compiler significantly advances the compiling efficiency of canonical representations. in fact, its compiling efficiency is comparable with that of the state-of-the-art compilers of non-canonical representations. we also provide a compiler for the i-th language in the first family by translating the last language in the first family into the i-th language (i < &infin;). empirical results show that we can sometimes use the i-th language instead of the last language without any obvious loss of space efficiency.",2017
robots in retirement homes: applying off-the-shelf planning and scheduling to a team of assistive robots,"this paper investigates three different technologies for solving a planning and scheduling problem of deploying multiple robots in a retirement home environment to assist elderly residents. the models proposed make use of standard techniques and solvers developed in ai planning and scheduling, with two primary motivations. first, to find a planning and scheduling solution that we can deploy in our real-world application. second, to evaluate planning and scheduling technology in terms of the ``model-and-solve'' functionality that forms a major research goal in both domain-independent planning and constraint programming. seven variations of our application are studied using the following three technologies: pddl-based planning, time-line planning and scheduling, and constraint-based scheduling. the variations address specific aspects of the problem that we believe can impact the performance of the technologies while also representing reasonable abstractions of the real world application. we evaluate the capabilities of each technology and conclude that a constraint-based scheduling approach, specifically a decomposition using constraint programming, provides the most promising results for our application. pddl-based planning is able to find mostly low quality solutions while the timeline approach was unable to model the full problem without alterations to the solver code, thus moving away from the model-and-solve paradigm. it would be misleading to conclude that constraint programming is ``better'' than pddl-based planning in a general sense, both because we have examined a single application and because the approaches make different assumptions about the knowledge one is allowed to embed in a model. nonetheless, we believe our investigation is valuable for ai planning and scheduling researchers as it highlights these different modelling assumptions and provides insight into avenues for the application of ai planning and scheduling for similar robotics problems. in particular, as constraint programming has not been widely applied to robot planning and scheduling in the literature, our results suggest significant untapped potential in doing so.",2017
explicit document modeling through weighted multiple-instance learning,"representing documents is a crucial component in many nlp tasks, for instance predicting aspect ratings in reviews. previous methods for this task treat documents globally, and do not acknowledge that target categories are often assigned by their authors with generally no indication of the specific sentences that motivate them. to address this issue, we adopt a weakly supervised learning model, which jointly learns to focus on relevant parts of a document according to the context along with a classifier for the target categories. derived from the weighted multiple-instance regression (mir) framework, the model learns decomposable document vectors for each individual category and thus overcomes the representational bottleneck in previous methods due to a fixed-length document vector. during prediction, the estimated relevance or saliency weights explicitly capture the contribution of each sentence to the predicted rating, thus offering an explanation of the rating. our model achieves state-of-the-art performance on multi-aspect sentiment analysis, improving over several baselines. moreover, the predicted saliency weights are close to human estimates obtained by crowdsourcing, and increase the performance of lexical and topical features for review segmentation and summarization.",2017
a probabilistic formalization of the appraisal for the occ event-based emotions,"this article presents a logical formalization of the emotional appraisal theory, i.e., it formalizes the cognitive process of evaluation that elicits an emotion. this formalization is psychologically grounded on the occ cognitive model of emotions. more specifically, we are interested in event-based emotions, i.e., emotions that are elicited by the evaluation of the consequences of an event that either happened or will happen. the formal modelling presented here is based on the afpl probabilistic logic, a bdi-like probabilistic modal logic, which allows our model to verify whether the variables that determine the elicitation of emotions achieved the necessary threshold or not. the proposed logical formalization aims at addressing how the emotions are elicited by the agent cognitive mental states (desires, beliefs and intentions), and how to represent the intensity of the emotions. these are important initial points in the investigation of the dynamic interaction among emotions and other mental states.",2017
combinatorial multi-armed bandits for real-time strategy games,"games with large branching factors pose a significant challenge for game tree search algorithms. in this paper, we address this problem with a sampling strategy for monte carlo tree search (mcts) algorithms called ""naive sampling"", based on a variant of the multi-armed bandit problem called ""combinatorial multi-armed bandits"" (cmab). we analyze the theoretical properties of several variants of naive sampling, and empirically compare it against the other existing strategies in the literature for cmabs. we then evaluate these strategies in the context of real-time strategy (rts) games, a genre of computer games characterized by their very large branching factors. our results show that as the branching factor grows, naive sampling outperforms the other sampling strategies.",2017
a neural probabilistic structured-prediction method for transition-based natural language processing,"we propose a neural probabilistic structured-prediction method for transition-based natural language processing, which integrates beam search and contrastive learning. the method uses a global optimization model, which can leverage arbitrary features over non-local context. beam search is used for efficient heuristic decoding, and contrastive learning is performed for adjusting the model according to search errors. when evaluated on both chunking and dependency parsing tasks, the proposed method achieves significant accuracy improvements over the locally normalized greedy baseline on the two tasks, respectively.",2017
